vintage,characteristic,unit,PCCT_raw,EID_raw,delta_raw,PCCT_subseg,EID_subseg,delta_subseg
v1 (original),Vessel (lumen+wall),mm³,2149±1079,2227±1270,-78±416,1534±848,1663±946,-129±222
v1 (original),Lumen,mm³,1627±916,1653±1000,-27±348,1100±680,1187±698,-87±168
v1 (original),Wall,mm³,522±352,573±424,-51±158,434±315,476±368,-42±124
v1 (original),Total plaque,mm³,421±335,453±387,-32±132,326±283,371±335,-45±130
v1 (original),CALC,mm³,158±173,130±161,+28±31,129±146,105±128,+25±29
v1 (original),LRNC,mm³,30±54,24±60,+6±28,25±52,19±56,+6±24
v1 (original),NonCALC matrix,mm³,233±158,298±229,-65±110,171±136,248±207,-77±118
v1 (original),Vessel length,mm,288±125,242±123,+47±82,182±80,181±80,+1±1
v2 (2026-07-07),Vessel (lumen+wall),mm³,2144±1089,2241±1304,-97±430,1506±864,1633±958,-127±213
v2 (2026-07-07),Lumen,mm³,1729±930,1689±1063,+40±377,1171±707,1189±743,-18±181
v2 (2026-07-07),Wall,mm³,415±270,552±360,-137±142,336±244,444±316,-109±131
v2 (2026-07-07),Total plaque,mm³,314±250,430±329,-116±125,208±189,319±261,-111±128
v2 (2026-07-07),CALC,mm³,114±127,118±141,-3±31,91±109,91±110,+0±24
v2 (2026-07-07),LRNC,mm³,22±52,26±72,-4±27,20±50,21±68,-1±23
v2 (2026-07-07),NonCALC matrix,mm³,177±118,286±184,-109±98,117±95,228±166,-111±114
v2 (2026-07-07),Vessel length,mm,288±125,241±123,+46±82,213±112,213±112,+0±0
